species,longitude,latitude
Rubus chamaemorus,4373820.481,4319653.249
Rubus chamaemorus,4971304.004,5264108.516
Rubus chamaemorus,4608866.694,3728057.567
Rubus chamaemorus,5018480.62,5164891.525
Rubus chamaemorus,4138518.880000001,4139218.2700000005
Rubus chamaemorus,4254996.832,4124240.068
Rubus chamaemorus,4309078.026,4308052.948
Rubus chamaemorus,4796734.745,5105217.835
Rubus chamaemorus,4393932.241,4275929.583
Rubus chamaemorus,4501733.362,3758342.891
Rubus chamaemorus,4682561.697,4648485.288
Rubus chamaemorus,4407962.629,4569792.748
Rubus chamaemorus,4759991.504000001,5131512.728
Rubus chamaemorus,4440108.731,4221473.567
Rubus chamaemorus,4812513.308,5006892.742
Rubus chamaemorus,5006712.286000001,5175667.551
Rubus chamaemorus,4610676.663,4626672.143
Rubus chamaemorus,5156853.424,4072770.061
Rubus chamaemorus,4548882.506,5046637.073
Rubus chamaemorus,4615728.626,5152921.78
Rubus chamaemorus,4589370.231,4065611.389
Rubus chamaemorus,4978342.302,4361913.628
Rubus chamaemorus,4526885.079,5078122.95
Rubus chamaemorus,5075346.938,5175897.267
Rubus chamaemorus,4709155.718,4487390.522
Rubus chamaemorus,5142801.969,4961082.966
Rubus chamaemorus,4504390.694,4590611.092
Rubus chamaemorus,4153199.754,3995269.679
Rubus chamaemorus,5107430.465,4439785.18
Rubus chamaemorus,4605402.822,5033625.708
Rubus chamaemorus,5046850.058,4571647.524
Rubus chamaemorus,4538437.055,4802914.411
Rubus chamaemorus,5123798.601,4624128.207
Rubus chamaemorus,4485701.824,4607846.596
Rubus chamaemorus,4391541.558,4391410.786
Rubus chamaemorus,4345945.59,4029859.7840000005
Rubus chamaemorus,4498929.067,4243684.851
Rubus chamaemorus,5309810.623,4690456.79
Rubus chamaemorus,4818796.798,5086335.698
Rubus chamaemorus,4266775.138,4348191.864
Rubus chamaemorus,4785052.85,4715602.046
Rubus chamaemorus,4533748.771,4385806.773
Rubus chamaemorus,4421182.173,4493110.53
Rubus chamaemorus,4932801.371,5084609.356
Rubus chamaemorus,4371089.466,4487374.935
Rubus chamaemorus,5054187.268,4648795.154
Rubus chamaemorus,5124905.395,4319266.576
Rubus chamaemorus,4502187.082,5014680.222
Rubus chamaemorus,4563362.616,4463666.047
Rubus chamaemorus,4358617.773,4437768.711
Rubus chamaemorus,5135362.219,4220889.931
Rubus chamaemorus,4472723.053,5006408.983
Rubus chamaemorus,4254775.419,4123983.247
Rubus chamaemorus,4324818.703,4079235.567
Rubus chamaemorus,5076981.6,4713327.29
Rubus chamaemorus,4460604.623,4791875.418
Rubus chamaemorus,4510510.752,4802374.467
Rubus chamaemorus,5153827.148,4216082.281
Rubus chamaemorus,4671153.087,4767950.73
Rubus chamaemorus,4574086.526,4304012.303
Rubus chamaemorus,5186609.212,4881475.707
Rubus chamaemorus,4406270.857,4523206.82
Rubus chamaemorus,4992204.53,4214556.09
Rubus chamaemorus,4812526.475,5101125.103
Rubus chamaemorus,4599893.68,3832295.285
Rubus chamaemorus,5173890.007,4824784.449
Rubus chamaemorus,4533993.869,5099124.819
Rubus chamaemorus,4449637.985,4564863.704
Rubus chamaemorus,5065776.284,4304512.524
Rubus chamaemorus,4843606.552,5111609.56
Rubus chamaemorus,4165088.062,4084290.855
Rubus chamaemorus,5079338.754,4236755.324
Rubus chamaemorus,4183859.556,4167896.14
Rubus chamaemorus,4813792.037,4604091.989
Rubus chamaemorus,4686718.67,5049305.546999999
Rubus chamaemorus,4420252.683,4272036.007
Rubus chamaemorus,4773253.38,5121652.526
Rubus chamaemorus,5126154.12,4979698.614
Rubus chamaemorus,4898386.587,4904459.666
Rubus chamaemorus,4637738.952,5182784.1
Rubus chamaemorus,4847619.984,5263610.864999999
Rubus chamaemorus,4769631.141,5119677.65
Rubus chamaemorus,4362791.895,4146163.653999999
Rubus chamaemorus,5024027.049,5040928.135000001
Rubus chamaemorus,4660968.91,4661583.793
Rubus chamaemorus,5302133.672,3981960.062
Rubus chamaemorus,4372270.137,4125595.115
Rubus chamaemorus,5029173.452,5094779.154
Rubus chamaemorus,4554850.378,4572753.687
Rubus chamaemorus,5035420.413,5335804.163
Rubus chamaemorus,4878705.64,4833628.285
Rubus chamaemorus,5153583.682,4833116.657
Rubus chamaemorus,4594459.795,5118035.941
Rubus chamaemorus,4952171.752,5272556.418
Rubus chamaemorus,4743209.855,4563866.965
Rubus chamaemorus,4975991.819,4374714.145
Rubus chamaemorus,4378645.807,4478970.697
Rubus chamaemorus,4447261.105,3913945.277
Rubus chamaemorus,4471733.165,4322125.188
Rubus chamaemorus,5123297.282,4262141.154
Rubus chamaemorus,5110067.646,4320726.471
Rubus chamaemorus,4370362.928,4098316.168
Rubus chamaemorus,4998716.189,4269855.978
Rubus chamaemorus,4228866.101,4149158.187
Rubus chamaemorus,4374991.58,4230940.999
Rubus chamaemorus,5104451.452,4615165.005
Rubus chamaemorus,4332394.708,3749721.694
Rubus chamaemorus,4325751.48,4403891.741
Rubus chamaemorus,4965747.288,4411995.047
Rubus chamaemorus,4767440.359,5145776.076
Rubus chamaemorus,4324402.481,4078243.876
Rubus chamaemorus,4973239.567,5030600.548
Rubus chamaemorus,4414907.512,4341257.038
Rubus chamaemorus,4624214.249,3854928.253
Rubus chamaemorus,4348082.742,4472209.592
Rubus chamaemorus,4165216.208,4102385.975
Rubus chamaemorus,4311856.593,4399035.686
Rubus chamaemorus,4880770.493,5351518.116
Rubus chamaemorus,4653651.772,4601589.068
Rubus chamaemorus,4894977.878,5378351.506
Rubus chamaemorus,4434461.266,4309760.403
Rubus chamaemorus,5177610.686,4901143.811
Rubus chamaemorus,4478939.829,4482864.103
Rubus chamaemorus,4739807.767,4906333.805
Rubus chamaemorus,4850155.791,4949940.269000001
Rubus chamaemorus,4753960.688999999,4758528.045
Rubus chamaemorus,4293972.601,4352780.367
Rubus chamaemorus,4612492.38,4208165.266
Rubus chamaemorus,4483705.701,4197481.505
Rubus chamaemorus,5079856.316,4258538.492
Rubus chamaemorus,4514379.959,4285379.693
Rubus chamaemorus,5111573.313,4338632.603
Rubus chamaemorus,5228510.397,4883221.617
Rubus chamaemorus,4064902.054,4152403.965
Rubus chamaemorus,4855105.852,5065301.974
Rubus chamaemorus,4597058.562,4272270.884
Rubus chamaemorus,4588309.093,5001216.344
Rubus chamaemorus,4742986.603,5244972.181999999
Rubus chamaemorus,4661152.841,4346746.66
Rubus chamaemorus,4276241.332,4124706.452
Rubus chamaemorus,4817823.495,5086082.478
Rubus chamaemorus,4924091.331,5006249.404
Rubus chamaemorus,5077249.133,5206824.298
Rubus chamaemorus,4660454.12,4368194.182
Rubus chamaemorus,4286280.924,4451977.302
Rubus chamaemorus,5258377.405,4653461.096
Rubus chamaemorus,4307177.816,3790682.9019999993
Rubus chamaemorus,4545706.987,4052364.248
Rubus chamaemorus,4238476.091,3911790.6549999993
Rubus chamaemorus,5243613.22,3985546.681
Rubus chamaemorus,5255282.334,4102846.496
Rubus chamaemorus,5169466.452,4299624.043
Rubus chamaemorus,4786234.457000001,5105131.022
Rubus chamaemorus,5038383.845,4298686.439
Rubus chamaemorus,4522629.346,4205646.712
Rubus chamaemorus,4948657.498,5229619.01
Rubus chamaemorus,5020051.193,4678379.719
Rubus chamaemorus,4990501.01,4915774.662
Rubus chamaemorus,4292315.117,4156002.982
Rubus chamaemorus,4504269.091,4194333.851
Rubus chamaemorus,4403298.062,4299751.507
Rubus chamaemorus,4229440.124,4480520.534
Rubus chamaemorus,5160164.645,4650720.255
Rubus chamaemorus,4842944.114,5236020.964
Rubus chamaemorus,4690637.078,4559343.291
Rubus chamaemorus,4533803.748,5045740.672
Rubus chamaemorus,4345043.985,4249846.137
Rubus chamaemorus,4382761.919,4485350.009
Rubus chamaemorus,4988818.697,4936937.207000001
Rubus chamaemorus,4814675.222,4625127.426
Rubus chamaemorus,4299668.65,4188920.762
Rubus chamaemorus,4377822.315,4404793.362
Rubus chamaemorus,4464635.476,4530885.085
Rubus chamaemorus,4861652.695,4627540.28
Rubus chamaemorus,4783812.154,5165449.6
Rubus chamaemorus,4855320.118,5001114.777
Rubus chamaemorus,5279800.847,4710228.471
Rubus chamaemorus,4460767.308,4620198.447
Rubus chamaemorus,4312304.257,3793388.993
Rubus chamaemorus,4643627.936,5098652.312
Rubus chamaemorus,4763792.274,5162256.283
Rubus chamaemorus,4335791.469,3757924.412
Rubus chamaemorus,4850243.073,4801599.315
Rubus chamaemorus,5154796.215,4216322.479
Rubus chamaemorus,4669097.914,4796985.724
Rubus chamaemorus,5120298.856,4443482.131
Rubus chamaemorus,4727471.392,4102351.871
Rubus chamaemorus,5275336.084,4061693.999
Rubus chamaemorus,4651434.378,5046010.086
Rubus chamaemorus,4906313.929,5046714.383
Rubus chamaemorus,5019400.569,5029552.673
Rubus chamaemorus,4176663.596,4145392.719
Rubus chamaemorus,4748013.646,4773693.032
Rubus chamaemorus,4466651.723,4555814.578
Rubus chamaemorus,4855018.688,4596237.125
Rubus chamaemorus,4940980.424,4556387.121
Rubus chamaemorus,5090145.448,4579639.906
Rubus chamaemorus,4554621.93,4394497.062
Rubus chamaemorus,4953850.631,4231081.374
Rubus chamaemorus,4783522.337,4707852.873
Rubus chamaemorus,4416302.842,3995948.357
Rubus chamaemorus,4576683.034,4394303.164
Rubus chamaemorus,4623182.041,4414618.033
Rubus chamaemorus,5127969.647,4256082.991
Rubus chamaemorus,4356188.773,4470556.762
Rubus chamaemorus,4508649.662,4144736.305
Rubus chamaemorus,4390304.91,4124306.87
Rubus chamaemorus,4136175.3119999995,4167241.3790000007
Rubus chamaemorus,5283999.66,4690660.343
Rubus chamaemorus,4194474.168,4418882.637
Rubus chamaemorus,4486179.103,4166696.742
Rubus chamaemorus,4307124.734,3791163.397
Rubus chamaemorus,4436783.181,4565898.021
Rubus chamaemorus,4373801.085,4097938.634
Rubus chamaemorus,4738669.891,5015913.243
Rubus chamaemorus,4794113.697,5147626.663
Rubus chamaemorus,4509709.583,5018321.69
Rubus chamaemorus,4413943.952,4602650.553
Rubus chamaemorus,4541377.284,4211935.371
Rubus chamaemorus,5091055.302,4389189.049
Rubus chamaemorus,4335204.124,3758162.977
Rubus chamaemorus,4917240.056,4876433.183999999
Rubus chamaemorus,5201108.302,4137503.127
Rubus chamaemorus,4980501.752,4948184.966
Rubus chamaemorus,4458363.432,4570420.39
Rubus chamaemorus,4666418.02,4752555.218
Rubus chamaemorus,4452653.185,4596083.632
Rubus chamaemorus,4948065.65,4854574.761
Rubus chamaemorus,5060580.052,4570155.008
Rubus chamaemorus,4289852.282,4214627.741
Rubus chamaemorus,5058909.137,4905328.726
Rubus chamaemorus,4922272.096,4500659.452
Rubus chamaemorus,4432310.121,4079198.625
Rubus chamaemorus,4674364.133,5045389.202
Rubus chamaemorus,4321787.376,4064510.831
Rubus chamaemorus,5233984.475,3974612.212
Rubus chamaemorus,4511520.86,4596881.693
Rubus chamaemorus,5200750.525,4131916.589
Rubus chamaemorus,4382579.443,4146285.582
Rubus chamaemorus,5124477.94,4255420.064
Rubus chamaemorus,4693884.097,5164036.594
Rubus chamaemorus,5298076.002,4127725.22
Rubus chamaemorus,4268395.601,4447823.444
Rubus chamaemorus,5011147.511,4599925.461
Rubus chamaemorus,4180639.923,4030909.851
Rubus chamaemorus,4531103.118,4825275.450000001
Rubus chamaemorus,4241254.856,4084629.49
Rubus chamaemorus,4226917.12,4177677.766
Rubus chamaemorus,4711382.395,4561119.081
Rubus chamaemorus,4307778.108,4297557.709
Rubus chamaemorus,4326852.134,4283426.685
Rubus chamaemorus,4535237.131,4412362.787
Rubus chamaemorus,4641725.831,5123560.803
Rubus chamaemorus,4164597.777,3942700.4139999994
Rubus chamaemorus,4819307.501,4927223.316999999
Rubus chamaemorus,5274126.609000001,4257141.885
Rubus chamaemorus,4981280.825,5270480.471
Rubus chamaemorus,4840415.382,4731798.752
Rubus chamaemorus,5081348.641,4581554.312
Rubus chamaemorus,4093476.8,4148537.406
Rubus chamaemorus,5170734.978,4324997.681
Rubus chamaemorus,4795114.461,4169988.526
Rubus chamaemorus,5104117.137,4884738.963
Rubus chamaemorus,4781643.730999999,4806277.274
Rubus chamaemorus,5002154.182,5210419.645
Rubus chamaemorus,5266694.593,4758132.334
Rubus chamaemorus,4543919.501,4071326.071
Rubus chamaemorus,5133010.115,4208854.992
Rubus chamaemorus,4175766.393,4103289.33
Rubus chamaemorus,4601328.449,3816407.677
Rubus chamaemorus,4823770.068,5083523.465
Rubus chamaemorus,4827732.031,5154313.880999999
Rubus chamaemorus,5082791.775,5327709.415
Rubus chamaemorus,4872069.983,4793322.395
Rubus chamaemorus,4726590.212000001,4527321.719
Rubus chamaemorus,4772200.13,5119837.712
Rubus chamaemorus,4506414.268,4163126.796
Rubus chamaemorus,4426026.39,4347344.065
Rubus chamaemorus,5095047.365000001,4338633.944
Rubus chamaemorus,4505541.551,5063951.897
Rubus chamaemorus,4642633.483,4201346.227
Rubus chamaemorus,4812256.097,5102080.923
Rubus chamaemorus,5289181.391,4717686.642
Rubus chamaemorus,4168462.468,4391091.857
Rubus chamaemorus,4413777.174,4484022.358
Rubus chamaemorus,4729710.45,4877342.294999999
Rubus chamaemorus,4641446.959,4749710.969
Rubus chamaemorus,4462158.966,4206228.721
Rubus chamaemorus,5034115.877,4914390.971
