species,longitude,latitude
Rubus chamaemorus,4273201.938,4491084.062
Rubus chamaemorus,4684804.66,4912427.921
Rubus chamaemorus,4695055.049,5049485.607
Rubus chamaemorus,5046050.299,4865056.801
Rubus chamaemorus,4985931.38,5249374.745
Rubus chamaemorus,4292289.614,4076922.931
Rubus chamaemorus,5308149.176,4683125.113
Rubus chamaemorus,4943824.975,4237827.337
Rubus chamaemorus,5033781.129,4873785.887
Rubus chamaemorus,4474316.909,4171470.5879999995
Rubus chamaemorus,4473651.119,4432819.204
Rubus chamaemorus,4533976.946,4075399.008
Rubus chamaemorus,4092958.019,4058355.4530000007
Rubus chamaemorus,5107603.932,4345892.25
Rubus chamaemorus,4119721.941,4272491.999
Rubus chamaemorus,4497483.371,4254220.388
Rubus chamaemorus,4525372.918,4974909.736
Rubus chamaemorus,4992165.53,4214563.273
Rubus chamaemorus,4513897.5,4915350.159
Rubus chamaemorus,5117953.850999999,4216203.515
Rubus chamaemorus,5160713.057,4477705.869
Rubus chamaemorus,4534749.381,5094555.881
Rubus chamaemorus,5123283.756,4217528.021
Rubus chamaemorus,4155679.874,3920019.894
Rubus chamaemorus,5202924.798,4031811.858
Rubus chamaemorus,4812205.319,5016928.175
Rubus chamaemorus,4516428.35,5024616.194
Rubus chamaemorus,4503203.1,4408470.613
Rubus chamaemorus,4408593.285,4296153.298
Rubus chamaemorus,4796013.042,5140941.422
Rubus chamaemorus,4349139.264,4373241.842
Rubus chamaemorus,4766516.172,4759455.084999999
Rubus chamaemorus,5056537.378,4654634.369
Rubus chamaemorus,4278451.306,4113447.383
Rubus chamaemorus,5119006.966,4278607.257
Rubus chamaemorus,4709322.691,5208365.707
Rubus chamaemorus,4291509.314,4312330.568
Rubus chamaemorus,4814206.239,4699048.562
Rubus chamaemorus,4241344.872,4015028.279
Rubus chamaemorus,4692360.506,4214822.483
Rubus chamaemorus,4763726.194,5129414.927
Rubus chamaemorus,5230463.805,4271643.126
Rubus chamaemorus,5013675.738,4250457.313
Rubus chamaemorus,5093108.485,4338149.863
Rubus chamaemorus,5145034.17,4222154.618
Rubus chamaemorus,4681808.231,5031583.675999999
Rubus chamaemorus,5372363.343,4619373.281
Rubus chamaemorus,4942087.118999999,4822309.299
Rubus chamaemorus,4446055.684,4279971.908
Rubus chamaemorus,5249247.953,4297457.629
Rubus chamaemorus,4333805.232,3750300.631
Rubus chamaemorus,4616753.103,4274592.615
Rubus chamaemorus,4691494.654,3888756.791
Rubus chamaemorus,5101885.749,5262459.747
Rubus chamaemorus,5140419.496,4445174.879
Rubus chamaemorus,4878297.579,4843272.172
Rubus chamaemorus,4891712.101,5226359.82
Rubus chamaemorus,5156663.142,4225038.56
Rubus chamaemorus,5304264.237,4554896.016
Rubus chamaemorus,4086153.0510000004,4327352.142
Rubus chamaemorus,4591153.343,4411288.291
Rubus chamaemorus,4545335.24,4061585.529
Rubus chamaemorus,5004415.349,5198683.248
Rubus chamaemorus,4981396.608000001,5270009.051
Rubus chamaemorus,4913288.692999999,5042149.262
Rubus chamaemorus,5079377.662,4232640.37
Rubus chamaemorus,4533731.401,4582512.051
Rubus chamaemorus,4553882.198,4189096.5279999995
Rubus chamaemorus,4425444.37,4245619.017
Rubus chamaemorus,4639966.914,4675505.401
Rubus chamaemorus,4287941.978,4424849.7
Rubus chamaemorus,4815150.93,4957669.02
Rubus chamaemorus,4539847.016,5086221.805
Rubus chamaemorus,4418603.204,3961644.71
Rubus chamaemorus,4662972.389,4685336.68
Rubus chamaemorus,5077289.129,4272333.487
Rubus chamaemorus,4465553.501,3657419.095
Rubus chamaemorus,4705089.491,4620561.739
Rubus chamaemorus,4073846.962,4317586.524
Rubus chamaemorus,5013216.684,4909898.549
Rubus chamaemorus,4247614.155,4151407.873
Rubus chamaemorus,5256117.274,4094188.607
Rubus chamaemorus,4863973.639,5247699.713
Rubus chamaemorus,4991404.978,4851546.048
Rubus chamaemorus,4213859.217,4471999.605
Rubus chamaemorus,4787054.774,4745551.402
Rubus chamaemorus,4674776.95,5190255.173
Rubus chamaemorus,4901903.005,5291417.998
Rubus chamaemorus,4537949.023,4516514.543
Rubus chamaemorus,5066874.04,4244987.255
Rubus chamaemorus,5132629.282,4208843.94
Rubus chamaemorus,4575076.614,4385562.344
Rubus chamaemorus,4846778.967,4685622.56
Rubus chamaemorus,4795102.406,4169987.389999999
Rubus chamaemorus,4780210.279,5145017.667000001
Rubus chamaemorus,5094256.523,4465296.368
Rubus chamaemorus,4235232.567,4160878.04
Rubus chamaemorus,4415164.476,4597937.23
Rubus chamaemorus,4180204.072,3920852.586
Rubus chamaemorus,4385847.142,4577427.133
Rubus chamaemorus,4713403.339,4711016.18
Rubus chamaemorus,4999689.164,4426284.653
Rubus chamaemorus,5187085.694,4926238.121
Rubus chamaemorus,5012143.3379999995,4814299.846
Rubus chamaemorus,5131752.06,4087079.105
Rubus chamaemorus,4990789.713,4216258.262
Rubus chamaemorus,4230237.514,4429081.848
Rubus chamaemorus,4685609.038,4738895.183
Rubus chamaemorus,5229530.393,4685459.238
Rubus chamaemorus,5307018.079,4668345.413
Rubus chamaemorus,4146708.8,3985182.0570000005
Rubus chamaemorus,4116990.0520000006,3921143.517
Rubus chamaemorus,4163249.708,4011433.05
Rubus chamaemorus,4971151.665000001,5056775.724
Rubus chamaemorus,5303659.496,3988071.298
Rubus chamaemorus,5219264.879,4357122.112
Rubus chamaemorus,5024123.542,4682498.141
Rubus chamaemorus,4366612.729,4251715.369
Rubus chamaemorus,4753500.397,4155508.002
Rubus chamaemorus,4202176.614,4418093.359
Rubus chamaemorus,5181018.164,4303116.121
Rubus chamaemorus,4505193.352,5064244.031
Rubus chamaemorus,4674520.288,4663235.132
Rubus chamaemorus,4540168.372,4526702.824
Rubus chamaemorus,5087634.207,4232636.171
Rubus chamaemorus,4546696.951,4278624.12
Rubus chamaemorus,4614410.727,4304457.072
Rubus chamaemorus,4768752.43,5133810.18
Rubus chamaemorus,4348120.864,4544283.153
Rubus chamaemorus,5141508.328,4211373.379
Rubus chamaemorus,5012994.074,4677624.342
Rubus chamaemorus,4875448.742,5171178.656
Rubus chamaemorus,4884302.772,5167907.767
Rubus chamaemorus,4449810.951,4564716.986
Rubus chamaemorus,4949720.542,5392230.133999999
Rubus chamaemorus,5141179.167,4406717.977
Rubus chamaemorus,4453483.792,4132171.967
Rubus chamaemorus,4446141.854,4186494.676
Rubus chamaemorus,4422933.288,4534437.048
Rubus chamaemorus,4774179.008,4145310.53
Rubus chamaemorus,4335926.642,3758364.7390000005
Rubus chamaemorus,4854147.614000001,5075080.372
Rubus chamaemorus,4865592.279,5165630.839
Rubus chamaemorus,4315662.801,4460458.368
Rubus chamaemorus,4322436.52,4080868.214
