species,longitude,latitude
Rubus chamaemorus,4615946.698,4282839.139
Rubus chamaemorus,4597010.856,3922180.517
Rubus chamaemorus,4589470.854,3785843.772
Rubus chamaemorus,4438637.348,4772727.375999999
Rubus chamaemorus,4500927.773,4817835.886
Rubus chamaemorus,4454364.351,4598963.253
Rubus chamaemorus,4665360.728,3825772.494
Rubus chamaemorus,4497660.105,4138606.499
Rubus chamaemorus,4901267.234,5280909.279
Rubus chamaemorus,4761385.773,4536339
Rubus chamaemorus,4579895.085,4009946.327
Rubus chamaemorus,4370842.722,4487435.942
Rubus chamaemorus,4786576.202999999,4726868.015000001
Rubus chamaemorus,4165988.26,4027047.035
Rubus chamaemorus,4504846.294,4514047.499
Rubus chamaemorus,4512196.29,3803605.553
Rubus chamaemorus,4221899.716,3951397.807
Rubus chamaemorus,4520493.059,4800694.866
Rubus chamaemorus,4680003.427,5136496.224
Rubus chamaemorus,4667320.728,3812011.422
Rubus chamaemorus,4574745.271,4019674.5000000005
Rubus chamaemorus,5009993.131,5342164.671000001
Rubus chamaemorus,4514902.876,4350510.786
Rubus chamaemorus,4724752.944,4518710.299
Rubus chamaemorus,4472626.609,4212114.827
Rubus chamaemorus,4459634.311,4835593.251
Rubus chamaemorus,4769518.833,4605581.553
Rubus chamaemorus,4548954.727,4352879.513
Rubus chamaemorus,5018051.584,5351479.438999999
Rubus chamaemorus,4626423.74,5145991.863
Rubus chamaemorus,4682584.065,3692650.163
Rubus chamaemorus,4363605.038,4195785.66
Rubus chamaemorus,4403869.076,4498003.579
Rubus chamaemorus,4614449.906,4513895.564
Rubus chamaemorus,4695818.437,4289041.379
Rubus chamaemorus,4429037.901,4558415.644
Rubus chamaemorus,4572978.948,3849899.376
Rubus chamaemorus,4406872.908,4557005.192
Rubus chamaemorus,4673773.913,5209505.441
Rubus chamaemorus,4668203.153,4721650.268
Rubus chamaemorus,4896034.35,4980314.679
Rubus chamaemorus,5007537.501,5388998.9180000005
Rubus chamaemorus,4449854.367,3884951.342
Rubus chamaemorus,4427716.359,4542118.035
Rubus chamaemorus,4771019.753,5174603.243
Rubus chamaemorus,5071295.817,5215484.27
Rubus chamaemorus,4541434.598,4631457.716
Rubus chamaemorus,4835697.116,3819376.352
Rubus chamaemorus,4593156.113,4025217.664
Rubus chamaemorus,4610010.841,3962934.397
Rubus chamaemorus,4715183.374,4829776.603
Rubus chamaemorus,4170448.403,4168868.977
Rubus chamaemorus,4238888.259,4224539.328
Rubus chamaemorus,4674030.046,3903793.267
Rubus chamaemorus,4261123.754,4468613.814
Rubus chamaemorus,4249069.782,3970291.529
Rubus chamaemorus,4618743.348,3958137.099
Rubus chamaemorus,4882192.701,5037972.643
Rubus chamaemorus,4609621.085,4123605.632
Rubus chamaemorus,4742613.008,4159604.292
Rubus chamaemorus,5007618.78,5329954.264
Rubus chamaemorus,4365073.972,4167908.024
Rubus chamaemorus,4625634.99,3762542.991
Rubus chamaemorus,4633330.561,4085105.4849999994
Rubus chamaemorus,4777919.031,4591673.452
Rubus chamaemorus,4752606.03,4485260.482
Rubus chamaemorus,4083656.346,4170454.212
Rubus chamaemorus,4129786.061,3981374.667
Rubus chamaemorus,4672344.346,4448121.662
Rubus chamaemorus,4946082.279,5320468.298
Rubus chamaemorus,4450964.975,3869804.224
Rubus chamaemorus,4386714.244,4277127.02
Rubus chamaemorus,4761211.688,4630260.085
